Tenure_Months,Monthly_Charges,Contract_Type,Internet_Service,Tech_Support,Payment_Method,Support_Calls,Churn
5.0,60.55,One Year,DSL,No,Mailed Check,0,Yes
1.0,95.53,One Year,DSL,No,Mailed Check,0,Yes
17.0,64.76,Month-to-Month,Fiber Optic,Yes,Electronic Check,0,Yes
2.0,88.01,Month-to-Month,Fiber Optic,Yes,Credit Card,4,Yes
15.0,51.98,Two Year,DSL,No,Credit Card,1,Yes
65.0,70.87,Two Year,DSL,No,Credit Card,1,No
31.0,40.88,Month-to-Month,No,No,Mailed Check,1,No
2.0,101.5,Month-to-Month,DSL,No,Credit Card,0,Yes
6.0,39.99,One Year,DSL,No,Mailed Check,0,Yes
27.0,55.25,Month-to-Month,Fiber Optic,No,Mailed Check,2,Yes
54.0,55.55,Month-to-Month,Fiber Optic,Yes,Credit Card,1,Yes
1.0,54.38,Two Year,Fiber Optic,No,Electronic Check,4,Yes
40.0,86.67,Month-to-Month,No,Yes,Electronic Check,0,No
20.0,55.5,One Year,DSL,Yes,Electronic Check,0,No
19.0,106.82,Two Year,Fiber Optic,Yes,Credit Card,2,Yes
72.0,40.45,Month-to-Month,DSL,Yes,Mailed Check,0,No
33.0,70.08,Month-to-Month,Fiber Optic,Yes,Mailed Check,1,No
46.0,41.73,Month-to-Month,No,Yes,Credit Card,3,Yes
10.0,77.63,Month-to-Month,Fiber Optic,Yes,Mailed Check,1,Yes
19.0,64.52,One Year,Fiber Optic,Yes,Electronic Check,2,No
23.0,60.35,Month-to-Month,No,No,Bank Transfer,1,Yes
9.0,100.65,Month-to-Month,DSL,No,Credit Card,1,Yes
20.0,45.37,Month-to-Month,Fiber Optic,No,Electronic Check,1,Yes
6.0,82.6,Month-to-Month,No,No,Bank Transfer,1,No
4.0,41.93,Month-to-Month,Fiber Optic,No,Electronic Check,0,Yes
11.0,68.38,One Year,DSL,No,Mailed Check,3,Yes
32.0,29.13,Month-to-Month,DSL,Yes,Electronic Check,2,No
60.0,45.12,Month-to-Month,DSL,Yes,Electronic Check,0,No
15.0,62.54,Month-to-Month,DSL,No,Mailed Check,1,Yes
25.0,119.44,Two Year,Fiber Optic,No,Credit Card,5,Yes
3.0,68.02,Month-to-Month,DSL,No,Bank Transfer,1,Yes
56.0,114.64,One Year,DSL,No,Credit Card,2,Yes
20.0,71.61,One Year,Fiber Optic,Yes,Bank Transfer,0,Yes
36.0,53.39,One Year,Fiber Optic,No,Electronic Check,1,Yes
38.0,111.18,Month-to-Month,Fiber Optic,No,Electronic Check,2,Yes
7.0,78.11,Two Year,Fiber Optic,No,Credit Card,1,Yes
18.0,45.72,One Year,DSL,No,Bank Transfer,3,No
72.0,79.12,Two Year,DSL,Yes,Credit Card,2,No
2.0,56.22,Month-to-Month,DSL,Yes,Electronic Check,0,Yes
28.0,15.0,One Year,Fiber Optic,Yes,Electronic Check,1,Yes
72.0,93.08,One Year,DSL,Yes,Mailed Check,0,No
9.0,97.85,Month-to-Month,Fiber Optic,Yes,Electronic Check,1,Yes
47.0,120.14,Month-to-Month,DSL,No,Electronic Check,3,Yes
65.0,77.66,One Year,No,No,Mailed Check,2,No
33.0,57.54,Month-to-Month,Fiber Optic,No,Bank Transfer,2,Yes
6.0,90.05,One Year,Fiber Optic,No,Electronic Check,0,Yes
10.0,90.49,Month-to-Month,Fiber Optic,Yes,Electronic Check,1,Yes
1.0,114.15,Month-to-Month,Fiber Optic,Yes,Bank Transfer,3,Yes
43.0,63.66,One Year,Fiber Optic,No,Mailed Check,2,Yes
45.0,60.03,Month-to-Month,No,Yes,Bank Transfer,1,Yes
24.0,43.53,Two Year,Fiber Optic,No,Mailed Check,2,No
10.0,81.12,Two Year,No,No,Credit Card,3,Yes
2.0,18.55,One Year,Fiber Optic,Yes,Bank Transfer,0,No
34.0,88.28,Two Year,No,No,Credit Card,0,No
31.0,82.64,Two Year,DSL,Yes,Mailed Check,1,No
58.0,82.55,Month-to-Month,DSL,No,Electronic Check,2,No
31.0,69.15,Two Year,Fiber Optic,Yes,Mailed Check,3,No
42.0,110.99,Month-to-Month,DSL,Yes,Mailed Check,0,No
33.0,91.16,Month-to-Month,DSL,No,Mailed Check,2,Yes
24.0,46.79,One Year,DSL,No,Bank Transfer,3,Yes
13.0,47.32,One Year,Fiber Optic,No,Electronic Check,4,Yes
56.0,38.61,Month-to-Month,No,No,Bank Transfer,4,No
25.0,81.54,Month-to-Month,Fiber Optic,No,Credit Card,2,Yes
12.0,35.0,One Year,No,No,Bank Transfer,4,Yes
2.0,97.5,Month-to-Month,Fiber Optic,No,Mailed Check,3,Yes
8.0,104.69,One Year,DSL,No,Credit Card,3,Yes
19.0,38.63,One Year,DSL,No,Mailed Check,0,Yes
8.0,59.43,Month-to-Month,Fiber Optic,No,Electronic Check,4,Yes
6.0,65.5,Month-to-Month,DSL,No,Credit Card,6,Yes
18.0,91.52,One Year,DSL,Yes,Electronic Check,1,Yes
4.0,113.28,Month-to-Month,Fiber Optic,Yes,Bank Transfer,1,Yes
39.0,15.0,Month-to-Month,Fiber Optic,No,Electronic Check,1,No
16.0,55.45,Month-to-Month,Fiber Optic,No,Electronic Check,3,Yes
20.0,57.02,Month-to-Month,No,No,Electronic Check,0,Yes
4.0,22.98,Month-to-Month,Fiber Optic,No,Mailed Check,2,Yes
9.0,50.45,Month-to-Month,Fiber Optic,Yes,Electronic Check,2,Yes
13.0,77.83,One Year,No,Yes,Electronic Check,0,No
40.0,56.64,One Year,DSL,No,Credit Card,1,No
35.0,18.66,Two Year,Fiber Optic,No,Credit Card,2,Yes
6.0,150.0,Month-to-Month,No,No,Credit Card,0,Yes
23.0,72.99,Month-to-Month,Fiber Optic,Yes,Credit Card,2,Yes
7.0,68.35,One Year,Fiber Optic,No,Mailed Check,1,Yes
72.0,32.06,One Year,Fiber Optic,Yes,Credit Card,1,No
72.0,72.82,One Year,Fiber Optic,No,Mailed Check,1,No
20.0,60.07,One Year,DSL,No,Mailed Check,2,Yes
29.0,15.0,One Year,No,No,Bank Transfer,1,No
39.0,32.89,Month-to-Month,No,No,Electronic Check,0,No
31.0,88.85,One Year,No,No,Credit Card,3,Yes
29.0,123.32,One Year,Fiber Optic,Yes,Mailed Check,2,No
72.0,76.01,Two Year,DSL,No,Electronic Check,1,Yes
22.0,98.09,One Year,DSL,Yes,Electronic Check,2,No
24.0,60.33,One Year,No,No,Electronic Check,1,Yes
45.0,62.4,Month-to-Month,Fiber Optic,No,Credit Card,1,Yes
27.0,97.73,Two Year,DSL,No,Credit Card,2,Yes
32.0,114.88,Two Year,Fiber Optic,Yes,Mailed Check,1,No
6.0,104.03,One Year,Fiber Optic,Yes,Electronic Check,5,Yes
11.0,33.01,One Year,Fiber Optic,Yes,Electronic Check,1,Yes
4.0,62.99,Month-to-Month,Fiber Optic,Yes,Credit Card,0,Yes
17.0,73.33,One Year,Fiber Optic,Yes,Electronic Check,1,Yes
15.0,57.21,One Year,No,No,Credit Card,4,Yes
72.0,76.64,One Year,DSL,No,Bank Transfer,2,No
23.0,89.62,Month-to-Month,DSL,No,Credit Card,1,Yes
37.0,95.08,One Year,Fiber Optic,Yes,Bank Transfer,1,Yes
10.0,115.58,Month-to-Month,No,Yes,Bank Transfer,2,Yes
43.0,55.12,One Year,Fiber Optic,Yes,Bank Transfer,0,Yes
23.0,24.08,Month-to-Month,Fiber Optic,Yes,Credit Card,1,No
29.0,75.75,One Year,Fiber Optic,Yes,Credit Card,2,No
8.0,121.51,Month-to-Month,Fiber Optic,Yes,Bank Transfer,2,Yes
19.0,50.69,Month-to-Month,No,No,Bank Transfer,2,Yes
24.0,85.61,One Year,No,No,Credit Card,1,No
21.0,85.87,Month-to-Month,Fiber Optic,No,Credit Card,0,Yes
59.0,70.74,One Year,Fiber Optic,No,Bank Transfer,1,Yes
55.0,65.21,Two Year,DSL,Yes,Electronic Check,0,No
72.0,37.3,Two Year,Fiber Optic,No,Electronic Check,1,Yes
26.0,15.0,Month-to-Month,Fiber Optic,Yes,Credit Card,0,Yes
72.0,31.64,Two Year,Fiber Optic,Yes,Electronic Check,0,No
43.0,53.29,Month-to-Month,DSL,Yes,Electronic Check,3,Yes
8.0,97.92,Two Year,No,Yes,Electronic Check,0,Yes
13.0,61.91,One Year,Fiber Optic,No,Bank Transfer,0,Yes
7.0,49.43,Month-to-Month,Fiber Optic,No,Bank Transfer,2,Yes
0.0,38.27,Month-to-Month,DSL,No,Electronic Check,3,Yes
5.0,84.7,Month-to-Month,Fiber Optic,Yes,Electronic Check,0,No
0.0,105.75,One Year,No,No,Credit Card,1,Yes
31.0,96.9,Month-to-Month,Fiber Optic,No,Credit Card,2,Yes
13.0,83.18,One Year,Fiber Optic,No,Electronic Check,1,Yes
